Americanism	Amerikanuma
actual	amjira
father	amachifata
the ritual naming of a child by the qalu	amachisa
to embrace	amachu
order	amarti
again	amas
to reorganise	amas-gurmesu
reprint	amas-maxanfama
to reprint	amas-maxansu
baptist	amata
modern	amaya
postmodern	amaya boda
modernity	amayefama
modernisation	amayesa
moderniser	amayesa
to modernise	amayesu
fashion	amayo
modernism	amayuma
mode	ame
rhizome	amicho
the present	ami
nursing of smal baby	amnu
salt bar	amole
rock salt	amole kata
to yawn	amumachu
yawn	amumi
pineaple	ananas
fringe	andara
lateral edge	andara cino
soap	andarqi
shaving soap	andarqi areda
soap	andarqi dhagna
face powder	andarqi fula
soap for hand washing	andarqi harka
washing powder	andarqi ufata
perfumed soap	andarqi urgawa
tothpaste	andilka
soap-nut	andode
first born	angafa
main objective	angafa akeka
major subject	angafa barumsa
headquarters	angafa bokona
central station	angafa bufata
main enemy	angafa dina
main economy	angafa dinagde
main economic activity	angafa dinagde hoji
main task	angafa dirqama
main point	angafa dubi
chieftain	angafa gosa
vena cava	angafa hida dhiga
main agricultural production	angafa horata qona
main production	angafa horata
main road	angafa kara
general asembly	angafa kora
main river	angafa laga
principal town or city	angafa magala
archangel	angafa malekota
main sea port	angafa malke
central library	angafa manbaro
police headquarters	angafa mantorobe
major cash-crop	angafa midhan gaba
major crop	angafa midhani
principal person	angafa nama
staple fod	angafa nyata
headlines	angafa odu
main service	angafa tajajila
head ofice	angafa wajira
leading idea	angafa yada
original	angafo
seniority	angafuma
article	angu
posible	anjawa
posibility	anjawuma
to be posible	anjawu
proper	anji
force	anisa
external force	anisa alo
restoring force	anisa debisa
compresive force	anisa gadqabinsa
internal force	anisa keso
magnetic force	anisa magineta
unbalanced force	anisa walin-qixane
balanced force	anisa walqixata
central forces	anisa waltaji
baby's fod	anqarsa
bed-shet	ansola
same as sanfila	antena
selfish	anume
selfishnes	anuma
sarcasm	anyarse
apartheid	apartayida
adictive	arachisa
ned for smoking	arada
resting place for catle after they dirnk hora	arada
to crave for things such as cofe and tobaco	aradu
conciliation	arara
clas conciliation	arara gita
ireconcilable	arara-dhabesa
peaceful	arara-qabesa
reconciliation	ararfata
arbitrator	ararsa
peace-making	ararsi
to conciliate	ararsu
usury	araxa
Arab	Araba
the Arab	Arabticha
the Arab	Arabtiti
inheritable land	arada
fairyland	arada abjote
lawn	arada qe'e
comunal land	arada wale
asembly ground	arada ya'i
meadow	arade
grasland	arado
temperate grasland	arado badadare
general term for liquor	araqe
cognac	araqe dima
European liquor such as cognac	araqe Faranji
a vodka like alcoholic drink	araqe Oromo
elephant	arba
Central Orion	Arbagadu
exageration	arbesa
one who exagerates	arbesa
to exagerate	arbesu
lom	arbi
ivory ring	arbora
a fast runer	arda
area	arda
place of celebration	arda jila
an area without vilage	arda ona
continent	ardi
sub-continent	ardi birke
velocity	ardo
final velocity	ardo dhuma
initial velocity	ardo dura
uniform velocity	ardo gostoke
escape velocity	ardo jalbayisa
orbital velocity	ardo marso
velocity of circulation	ardo nana'a
relative velocity	ardo sadhatawa
uniform velocity	ardo walfakata
chin	areda
razor	aredadu
electric shaver	aredadu eletrika
butermilk	arera
dilution	areri
plasma	arero
seminal plasma	arero amenta
blod plasma	arero dhiga
antidote	arerti
grain which is sawn in autumn and ripes in June	arfase
a kind of tulip that sprouts in afrasa	arfaso
sightles	arga-malesa
sight	arga
colour vision	arga bifa
myope	arga dhiyo
a present for a new maried couple	arga gayila
pupil of the eye	arga ija
anecdote	arga-dhageti
to find	argachu
binocular vision	argalame
visible	argama
phenomenon	argamata
phenomenalist	argamatesa
to phenomenalise	argamatesu
phenomalism	argamatuma
invisible	argamdhabesa
ocurence	argamsa
result	argamta
animal products	argamta belada
bland determination	argamta duwa
concretisation	argamtesa
concrete	argamti
to be visible	argamu
finding	argana
discovery	argano
discovery of America	argano Amerika
scientific discovery	argano sayinsawa
discovery of documents	argano sanadi
finder	argatu
seing	argina
farsightednes	argina fago
visionles	argo-malesa
visionary	argo-qabesa
vision	argo
to se	argu
urgency	arifachisa
urgent	arifachisa
